2024-11-14T00:18:34.601-03:00  INFO 36528 --- [http-nio-8080-exec-5] c.uu.bookingservice.services.LogService  : Pending added: Booking(id=4, professorId=null, labId=11, subjectId=9, approved=false, timeInit=2024-11-29T20:00, timeFinal=2024-11-29T23:00, timeRequest=2024-11-14T00:18:34.573118)
2024-11-14T00:37:28.368-03:00  INFO 34748 --- [http-nio-8080-exec-5] c.uu.bookingservice.services.LogService  : Pending added: Booking(id=2, professorId=1, labId=11, subjectId=1, approved=false, timeInit=2024-11-15T15:00, timeFinal=2024-11-15T19:00, timeRequest=2024-11-14T00:37:28.323154)
2024-11-14T17:05:43.746-03:00  INFO 31376 --- [http-nio-8080-exec-7] c.uu.bookingservice.services.LogService  : Pending added: Booking(id=2, professorId=1, labId=6, subjectId=2, approved=false, timeInit=2024-11-22T15:00, timeFinal=2024-11-22T16:00, timeRequest=2024-11-14T17:05:43.701305)
2024-11-14T17:12:52.185-03:00  INFO 31376 --- [http-nio-8080-exec-3] c.uu.bookingservice.services.LogService  : Pending added: Booking(id=3, professorId=1, labId=2, subjectId=3, approved=false, timeInit=2024-11-22T15:00, timeFinal=2024-11-22T18:00, timeRequest=2024-11-14T17:12:52.183160)
2024-11-14T17:15:33.978-03:00  INFO 31376 --- [http-nio-8080-exec-6] c.uu.bookingservice.services.LogService  : Pending added: Booking(id=4, professorId=1, labId=2, subjectId=3, approved=false, timeInit=2024-11-22T15:00, timeFinal=2024-11-22T18:00, timeRequest=2024-11-14T17:15:33.975779)
2024-11-14T17:15:58.296-03:00  INFO 31376 --- [http-nio-8080-exec-1] c.uu.bookingservice.services.LogService  : Pending added: Booking(id=5, professorId=1, labId=5, subjectId=3, approved=false, timeInit=2024-11-15T15:00, timeFinal=2024-11-15T19:00, timeRequest=2024-11-14T17:15:58.295327)
2024-11-14T20:38:16.884-03:00  INFO 31376 --- [http-nio-8080-exec-9] c.uu.bookingservice.services.LogService  : Pending deleted: Booking(id=5, professorId=1, labId=5, subjectId=3, approved=false, timeInit=2024-11-15T15:00, timeFinal=2024-11-15T19:00, timeRequest=2024-11-14T17:15:58.295327)
2024-11-14T20:38:51.499-03:00  INFO 31376 --- [http-nio-8080-exec-3] c.uu.bookingservice.services.LogService  : Pending deleted: Booking(id=4, professorId=1, labId=2, subjectId=3, approved=false, timeInit=2024-11-22T15:00, timeFinal=2024-11-22T18:00, timeRequest=2024-11-14T17:15:33.975779)
2024-11-14T20:40:15.343-03:00  INFO 31376 --- [http-nio-8080-exec-2] c.uu.bookingservice.services.LogService  : Pending deleted: Booking(id=3, professorId=1, labId=2, subjectId=3, approved=false, timeInit=2024-11-22T15:00, timeFinal=2024-11-22T18:00, timeRequest=2024-11-14T17:12:52.183160)
2024-11-14T20:40:45.835-03:00  INFO 31376 --- [http-nio-8080-exec-1] c.uu.bookingservice.services.LogService  : Approved deleted: Booking(id=1, professorId=1, labId=1, subjectId=1, approved=true, timeInit=2024-11-30T10:00, timeFinal=2024-11-30T12:00, timeRequest=2024-11-14T17:05:02.590449)
2024-11-14T20:42:53.973-03:00  INFO 31376 --- [http-nio-8080-exec-4] c.uu.bookingservice.services.LogService  : Approved added: Booking(id=2, professorId=1, labId=6, subjectId=2, approved=false, timeInit=2024-11-22T15:00, timeFinal=2024-11-22T16:00, timeRequest=2024-11-14T17:05:43.701305)
2024-11-14T21:06:46.119-03:00  INFO 31376 --- [http-nio-8080-exec-10] c.uu.bookingservice.services.LogService  : Approved added: Booking(id=4, professorId=3, labId=11, subjectId=4, approved=false, timeInit=2024-12-30T10:00, timeFinal=2024-12-30T12:00, timeRequest=2024-11-14T17:05:43.701305)
2024-11-14T21:07:18.192-03:00  INFO 31376 --- [http-nio-8080-exec-4] c.uu.bookingservice.services.LogService  : Pending added: Booking(id=5, professorId=3, labId=8, subjectId=9, approved=false, timeInit=2024-11-23T15:00, timeFinal=2024-11-23T19:00, timeRequest=2024-11-14T21:07:18.190575)
2024-11-14T21:07:41.293-03:00  INFO 31376 --- [http-nio-8080-exec-4] c.uu.bookingservice.services.LogService  : Approved added: Booking(id=5, professorId=3, labId=8, subjectId=9, approved=false, timeInit=2024-11-23T15:00, timeFinal=2024-11-23T19:00, timeRequest=2024-11-14T21:07:18.190575)
